,x,y
0,-5.0,
1,-4.993999399939994,
2,-4.987998799879988,
3,-4.981998199819982,
4,-4.975997599759976,
5,-4.96999699969997,
6,-4.963996399639964,
7,-4.957995799579958,
8,-4.951995199519952,
9,-4.945994599459946,
10,-4.93999399939994,
11,-4.933993399339934,
12,-4.927992799279928,
13,-4.921992199219922,
14,-4.915991599159916,
15,-4.90999099909991,
16,-4.903990399039904,
17,-4.897989798979898,
18,-4.891989198919892,
19,-4.885988598859886,
20,-4.87998799879988,
21,-4.873987398739874,
22,-4.867986798679868,
23,-4.861986198619862,
24,-4.855985598559856,
25,-4.84998499849985,
26,-4.843984398439844,
27,-4.837983798379838,
28,-4.831983198319832,
29,-4.825982598259826,
30,-4.81998199819982,
31,-4.813981398139814,
32,-4.807980798079808,
33,-4.801980198019802,
34,-4.795979597959796,
35,-4.78997899789979,
36,-4.783978397839784,
37,-4.777977797779778,
38,-4.771977197719772,
39,-4.765976597659766,
40,-4.75997599759976,
41,-4.753975397539754,
42,-4.747974797479748,
43,-4.741974197419742,
44,-4.735973597359736,
45,-4.72997299729973,
46,-4.723972397239724,
47,-4.717971797179718,
48,-4.711971197119712,
49,-4.705970597059706,
50,-4.6999699969997,
51,-4.693969396939694,
52,-4.687968796879688,
53,-4.681968196819682,
54,-4.675967596759676,
55,-4.66996699669967,
56,-4.663966396639664,
57,-4.657965796579658,
58,-4.651965196519652,
59,-4.645964596459646,
60,-4.63996399639964,
61,-4.633963396339634,
62,-4.627962796279628,
63,-4.621962196219622,
64,-4.615961596159616,
65,-4.60996099609961,
66,-4.603960396039604,
67,-4.597959795979598,
68,-4.591959195919592,
69,-4.585958595859586,
70,-4.57995799579958,
71,-4.573957395739574,
72,-4.567956795679568,
73,-4.561956195619562,
74,-4.555955595559556,
75,-4.54995499549955,
76,-4.543954395439544,
77,-4.537953795379538,
78,-4.531953195319532,
79,-4.525952595259526,
80,-4.51995199519952,
81,-4.513951395139514,
82,-4.507950795079508,
83,-4.501950195019502,
84,-4.495949594959496,
85,-4.48994899489949,
86,-4.483948394839484,
87,-4.477947794779478,
88,-4.471947194719472,
89,-4.465946594659466,
90,-4.45994599459946,
91,-4.453945394539454,
92,-4.447944794479448,
93,-4.441944194419442,
94,-4.435943594359436,
95,-4.42994299429943,
96,-4.423942394239424,
97,-4.417941794179418,
98,-4.411941194119412,
99,-4.405940594059406,
100,-4.3999399939994,
101,-4.3939393939393945,
102,-4.387938793879388,
103,-4.381938193819382,
104,-4.375937593759376,
105,-4.36993699369937,
106,-4.363936393639364,
